gender,ssc_p,hsc_p,degree_p,degree_t,work_exp,etest_p,coding_score,soft_skills_score,internships,projects_count,status,salary
F,48.5,45.0,58.6,Comm&Mgmt,No,73.2,71.2,67.8,1,1,Not Placed,0.0
M,98.0,70.0,72.1,Sci&Tech,No,96.5,63.5,81.7,2,2,Placed,8.6
M,83.6,73.9,84.3,Sci&Tech,Yes,75.3,76.3,69.4,3,2,Placed,13.9
M,74.5,81.1,74.1,Comm&Mgmt,No,71.7,77.5,75.5,1,2,Placed,9.8
M,71.4,57.8,64.9,Sci&Tech,Yes,75.9,72.3,66.5,1,3,Placed,10.2
F,75.1,71.0,75.6,Comm&Mgmt,Yes,71.9,56.5,58.7,2,1,Placed,9.1
M,77.7,58.9,66.4,Comm&Mgmt,No,62.2,71.9,68.6,2,1,Placed,10.6
M,79.1,73.1,64.1,Sci&Tech,No,81.9,84.7,73.4,0,3,Not Placed,0.0
F,78.1,59.3,59.5,Sci&Tech,No,74.7,59.6,62.8,1,1,Not Placed,0.0
M,73.0,65.1,53.5,Sci&Tech,No,72.2,97.4,67.4,1,2,Placed,10.4
M,69.8,58.1,67.1,Comm&Mgmt,No,60.3,60.6,59.7,0,2,Not Placed,0.0
F,70.3,77.8,72.6,Others,No,87.6,68.5,82.3,0,3,Not Placed,0.0
M,69.9,80.3,70.0,Comm&Mgmt,No,80.0,58.6,66.8,0,1,Not Placed,0.0
F,84.5,67.2,66.8,Sci&Tech,No,65.4,71.1,86.0,1,1,Not Placed,0.0
F,78.5,70.5,61.5,Comm&Mgmt,No,84.0,43.6,86.8,0,2,Not Placed,0.0
F,45.0,52.6,77.1,Sci&Tech,Yes,66.0,60.4,69.1,0,4,Not Placed,0.0
M,79.2,66.4,57.8,Comm&Mgmt,No,62.6,52.7,58.9,0,2,Not Placed,0.0
F,74.1,69.4,78.8,Sci&Tech,No,62.9,69.9,47.1,2,2,Placed,10.2
M,71.8,98.0,61.0,Comm&Mgmt,Yes,50.7,81.9,53.8,2,2,Placed,10.7
M,67.7,56.7,63.5,Sci&Tech,No,77.7,77.0,54.9,1,4,Not Placed,0.0
M,84.4,87.6,56.3,Others,Yes,50.0,34.8,85.2,1,3,Not Placed,0.0
F,82.4,82.0,66.0,Sci&Tech,No,57.3,96.6,71.3,3,4,Placed,12.8
M,63.5,73.4,80.8,Comm&Mgmt,No,47.1,72.1,74.3,0,1,Placed,9.0
M,76.5,91.1,76.2,Others,No,71.0,57.1,45.6,0,1,Placed,6.9
F,61.3,74.5,80.8,Sci&Tech,No,70.2,70.2,56.8,0,2,Not Placed,0.0
M,56.8,74.7,76.2,Others,No,68.1,70.5,79.8,0,3,Not Placed,0.0
M,65.1,69.4,60.0,Comm&Mgmt,No,59.5,58.7,73.2,1,2,Placed,6.3
M,81.5,84.7,67.7,Sci&Tech,No,57.9,70.8,68.4,2,1,Placed,9.2
M,82.5,83.2,63.2,Sci&Tech,Yes,77.6,59.5,76.2,1,3,Placed,7.5
M,77.6,62.5,84.3,Comm&Mgmt,No,65.4,62.3,88.0,1,1,Placed,8.3
M,80.0,54.2,59.0,Sci&Tech,Yes,75.8,58.4,67.6,3,2,Placed,8.3
F,77.7,67.6,79.9,Comm&Mgmt,No,61.4,47.9,70.8,0,2,Not Placed,0.0
M,64.9,60.4,79.9,Sci&Tech,No,74.2,70.0,72.1,0,2,Placed,8.5
M,76.8,69.2,89.3,Comm&Mgmt,No,87.6,76.2,96.3,1,3,Placed,12.1
F,80.8,84.8,66.9,Sci&Tech,Yes,79.0,75.2,46.9,1,2,Placed,10.1
M,80.3,64.5,78.1,Comm&Mgmt,Yes,67.1,79.5,77.5,0,2,Placed,11.5
F,85.1,69.5,93.8,Others,No,75.1,72.5,68.7,1,2,Placed,11.6
M,79.8,70.7,64.8,Others,Yes,69.1,60.5,76.2,1,2,Placed,7.1
M,75.9,80.2,55.6,Comm&Mgmt,Yes,72.1,79.8,62.8,1,2,Placed,9.8
M,83.8,45.0,52.2,Sci&Tech,Yes,68.1,49.0,69.5,1,2,Not Placed,0.0
