roll_number,department,cgpa,backlogs,internships,technical_skills,technical_skills_count,communication_score,ssc_percentage,hsc_percentage,placement_status,package_offered
ECE20230538,ECE,4.67,0,1,"Django, Flask, JavaScript",3,8,76.2,92.1,Not Placed,
CSE20240539,CSE,7.58,0,1,"JavaScript, React, Python, Excel, Django",5,6,81,76.6,Placed,12.6
ECE20210540,ECE,8.39,0,1,"AWS, Django",2,7,81.6,82.8,Placed,12.1
IT20220541,IT,8.04,1,2,"JavaScript, Django, Machine Learning",3,5,71.6,56.3,Placed,12
EEE20230542,EEE,7.27,0,2,"Flask, Python, C++, JavaScript, SQL",5,9,76.4,79.4,Placed,13.6
CSE20240543,CSE,8.3,2,0,"React, SQL, Communication",3,6,74,78.9,Placed,13.7
CSE20210544,CSE,7.92,3,2,"Android, AWS, Communication",3,8,74.4,76.6,Not Placed,
ECE20220545,ECE,7.02,3,0,"Machine Learning, React, Communication, C++",4,6,81.7,77.3,Placed,10
CIVIL20230546,CIVIL,7.74,1,0,"Android, Communication, React, AWS",4,8,75,69.7,Not Placed,
CIVIL20240547,CIVIL,8.03,0,2,"Django, React",2,6,81.9,72,Placed,12.1
CIVIL20210548,CIVIL,7.99,2,3,"Java, Communication, Excel, Flask",4,6,87.3,71.1,Placed,14
EEE20220549,EEE,7.25,0,2,"Python, SQL, Excel, React, C++",5,5,93.3,72.5,Placed,12.2
CSE20230550,CSE,7.24,0,0,"Excel, Data Structures, JavaScript",3,10,71.9,70.5,Placed,10.5
EEE20240551,EEE,7.42,0,0,"Data Structures, Excel, React, Python, SQL",5,9,69.1,84.9,Placed,10.9
IT20210552,IT,8.32,0,1,"AWS, JavaScript",2,7,80.1,72.3,Placed,12.5
IT20220553,IT,6.88,1,1,"Django, Flask, C++, Java, Excel",5,5,67.2,75.2,Placed,11
CIVIL20230554,CIVIL,6.91,1,1,"Android, React, Communication",3,6,76.5,74.2,Placed,11.6
MECH20240555,MECH,7.58,0,0,"JavaScript, Java, AWS, Flask, Django",5,6,70,76,Placed,10.2
MECH20210556,MECH,7.93,1,0,"Excel, SQL, Java, Android, Flask",5,1,79.2,65.8,Placed,13.4
ECE20220557,ECE,7.54,0,2,"Android, Machine Learning, Communication, SQL, AWS",5,6,86.7,81.3,Placed,12.6
EEE20230558,EEE,7.42,1,2,"Java, Python, Flask, JavaScript, Excel",5,5,76.5,82.6,Placed,12
IT20240559,IT,6.89,0,3,Python,1,6,76.1,75.5,Placed,10.2
EEE20210560,EEE,6.8,2,0,"Data Structures, AWS, Android, Java",4,4,75.9,93.1,Not Placed,
ECE20220561,ECE,6.27,0,0,Communication,1,5,66.7,77.8,Placed,11.2
EEE20230562,EEE,7.22,2,3,"SQL, AWS, Django, Android",4,6,78,76.6,Placed,10.1
EEE20240563,EEE,7.58,1,2,Machine Learning,1,6,75.7,64.2,Placed,8.7
CSE20210564,CSE,6.23,0,1,"C++, Machine Learning",2,6,83.7,54.2,Placed,12.8
CIVIL20220565,CIVIL,6.68,2,0,"Java, Excel, Communication",3,6,73.6,70.4,Placed,10.3
CIVIL20230566,CIVIL,8.69,0,0,"React, Android, Communication, Python, SQL",5,5,84.8,72,Placed,12
CIVIL20240567,CIVIL,8.79,0,1,"Communication, JavaScript, SQL",3,8,79.1,66,Placed,10.5
MECH20210568,MECH,7.86,3,0,Android,1,6,80,76.7,Not Placed,
EEE20220569,EEE,8.77,0,0,"Flask, C++, Android, Excel, Communication",5,7,73.4,76.4,Placed,10.4
CIVIL20230570,CIVIL,6.65,0,3,C++,1,6,71.2,67.1,Not Placed,
CIVIL20240571,CIVIL,8.15,0,1,"Machine Learning, JavaScript, Android, C++, Python",5,7,62.2,74.4,Placed,8.2
MECH20210572,MECH,7.54,1,1,"Android, Python, AWS, JavaScript, Data Structures",5,7,69.6,83.9,Placed,14.1
MECH20220573,MECH,6.2,0,0,"Machine Learning, Android, Python, Flask, React",5,4,79.2,79.4,Not Placed,
CSE20230574,CSE,7.27,0,0,Communication,1,8,67.4,68.3,Placed,11.3
IT20240575,IT,6.47,2,0,"AWS, Machine Learning, Flask, Excel, Django",5,2,78.1,86.1,Not Placed,
EEE20210576,EEE,7.67,1,0,"Android, Communication",2,7,68.7,74.1,Not Placed,
MECH20220577,MECH,8.28,0,0,"AWS, Machine Learning, JavaScript",3,8,64.9,92.4,Placed,12.1
IT20230578,IT,6.85,0,1,"C++, Communication, Java, Python",4,5,82.9,85.2,Placed,15
CIVIL20240579,CIVIL,7.1,0,3,"Python, AWS, Android, React",4,2,73.4,69.6,Placed,12.5
IT20210580,IT,6.5,3,3,"React, Java, JavaScript",3,4,83.7,72.6,Not Placed,
IT20220581,IT,6.8,0,1,"C++, JavaScript",2,7,84.4,72.3,Not Placed,
ECE20230582,ECE,6.93,0,1,"Django, Java, Communication, SQL, Machine Learning",5,9,85.8,77.1,Placed,13.3
ECE20240583,ECE,7.15,0,0,"React, Django, JavaScript",3,8,97.8,77.4,Placed,9.6
IT20210584,IT,7.26,0,2,AWS,1,8,79.1,71.5,Placed,9.4
MECH20220585,MECH,7.06,2,1,"React, Excel, SQL, Communication",4,6,76.9,78.5,Placed,13.6
IT20230586,IT,7.43,1,0,SQL,1,9,68.7,94.7,Placed,9
MECH20240587,MECH,7.78,0,1,"Django, Python",2,3,79.9,72.9,Placed,12.4
CSE20210588,CSE,6.27,0,2,Python,1,3,79.9,71.8,Not Placed,
CIVIL20220589,CIVIL,7.42,0,1,"AWS, Java",2,6,76.4,75.5,Not Placed,
MECH20230590,MECH,8.64,0,1,Communication,1,5,84.2,79.6,Placed,9
IT20240591,IT,6.88,0,3,Data Structures,1,7,72.3,56,Placed,9.8
CIVIL20210592,CIVIL,7.65,0,1,AWS,1,7,71.1,74.7,Placed,13.5
ECE20220593,ECE,7.98,0,1,"Machine Learning, Flask, Django, Excel",4,7,67.1,65.3,Placed,12.5
CIVIL20230594,CIVIL,5.76,0,3,AWS,1,5,73.9,82.5,Placed,12.3
ECE20240595,ECE,6.62,0,1,"C++, Django, Python, AWS, Machine Learning",5,3,71.4,83.9,Placed,12.2
ECE20210596,ECE,6.18,0,3,SQL,1,7,67.6,63.4,Not Placed,
MECH20220597,MECH,5.39,0,1,"Java, Python, C++, Android, Data Structures",5,7,72.9,65.5,Not Placed,
CIVIL20230598,CIVIL,7.6,2,1,"C++, Machine Learning, Python, Django",4,5,73.9,76.2,Placed,11
CIVIL20240599,CIVIL,8,0,1,"Android, Django, React, C++, AWS",5,6,66.9,78.9,Placed,11.2
CSE20210600,CSE,7.66,0,1,Django,1,7,70.1,78.4,Placed,11.4
IT20220601,IT,7.37,0,1,"Django, Machine Learning, JavaScript, React, Java",5,5,85.2,72.5,Placed,11.5
ECE20230602,ECE,6,1,1,"Machine Learning, JavaScript",2,5,83.9,69.3,Not Placed,
ECE20240603,ECE,6.42,0,1,"Communication, Data Structures",2,8,80.8,74.6,Not Placed,
IT20210604,IT,7.54,0,2,"Flask, Android",2,8,74.2,82.3,Placed,9.6
CIVIL20220605,CIVIL,7.99,0,1,"Communication, SQL, Excel, Data Structures, React",5,6,72,90.3,Placed,13.5
IT20230606,IT,7.82,0,0,"React, Excel, Android",3,6,84.7,93.6,Placed,11.3
MECH20240607,MECH,5.8,1,0,Django,1,6,72.4,86.3,Placed,8
MECH20210608,MECH,6.33,0,0,"AWS, Machine Learning, Python, Android",4,6,78.6,68.1,Not Placed,
ECE20220609,ECE,9.03,0,1,"Machine Learning, Android, Data Structures, JavaScript",4,9,83.6,71.9,Placed,14.7
EEE20230610,EEE,6.57,0,2,"React, SQL",2,9,72.1,87.7,Placed,10.6
MECH20240611,MECH,8.16,2,1,"React, Data Structures",2,5,90.9,81.6,Not Placed,
CSE20210612,CSE,7.71,0,1,"Data Structures, Flask, Python, Machine Learning, Java",5,8,80,77.5,Placed,12.3
CSE20220613,CSE,7.33,0,0,"C++, Python, Android, Java",4,5,81.3,80.9,Placed,11.9
MECH20230614,MECH,7.8,0,2,"Android, AWS, Django, Data Structures",4,8,68,66,Placed,11
CIVIL20240615,CIVIL,8.25,0,0,"Communication, Excel, SQL",3,6,79.5,79.1,Placed,12.6
MECH20210616,MECH,5.63,0,1,"JavaScript, Data Structures, C++",3,5,65,80.6,Placed,8.5
CSE20220617,CSE,8.08,0,1,"Java, Android, Flask, Data Structures",4,6,85.1,61.9,Placed,10.7
MECH20230618,MECH,6.83,2,0,Django,1,5,72.4,65.7,Not Placed,
IT20240619,IT,6.87,0,2,"Java, Python",2,6,73.6,67.5,Not Placed,
IT20210620,IT,6.35,0,3,SQL,1,5,86.5,77.6,Placed,11.3
EEE20220621,EEE,7.91,0,1,"Flask, React, Data Structures",3,4,75,69.9,Placed,12.2
MECH20230622,MECH,6.29,0,0,"Flask, SQL, Android, Data Structures, Excel",5,4,78.7,65.9,Placed,8.9
CSE20240623,CSE,7.57,0,0,"SQL, Java, Flask, JavaScript, Android",5,6,74.6,68.3,Placed,11.5
CIVIL20210624,CIVIL,8.19,0,3,"SQL, Data Structures, Django, Machine Learning",4,7,77,63,Placed,12.9
ECE20220625,ECE,6.49,0,3,"Python, Excel, Java, SQL, Communication",5,5,72.9,99,Not Placed,
CIVIL20230626,CIVIL,7.75,0,1,"Django, Flask",2,7,83.4,75.6,Placed,12.5
ECE20240627,ECE,7.04,0,3,"Machine Learning, Django, SQL, C++",4,7,78.8,76.3,Placed,12.8
IT20210628,IT,8.15,3,1,Android,1,8,66,72.1,Placed,13.2
EEE20220629,EEE,9,0,1,Android,1,5,72.3,74.2,Placed,11.4
ECE20230630,ECE,6.45,1,2,"C++, SQL",2,2,71.3,63.4,Placed,11.1
MECH20240631,MECH,7.17,0,1,"Data Structures, Machine Learning, Java, AWS, Django",5,5,71.7,76.1,Placed,10.5
CIVIL20210632,CIVIL,6.84,3,0,"AWS, Django, React, Data Structures, Flask",5,6,76,77.6,Not Placed,
EEE20220633,EEE,7.45,0,0,"Flask, Android, Machine Learning, Django",4,5,79.8,66.1,Placed,9.3
EEE20230634,EEE,5.48,0,3,"SQL, Python, Android, Django",4,8,73,89.3,Placed,11
CSE20240635,CSE,7.83,1,1,"AWS, C++, JavaScript",3,6,83.9,73.7,Not Placed,
IT20210636,IT,8.16,0,1,"Data Structures, JavaScript, AWS",3,8,79.9,74.5,Placed,12.4
ECE20220637,ECE,7.73,0,0,"Data Structures, React, Django",3,5,66.1,86.7,Not Placed,
CSE20230638,CSE,4.91,0,0,"Data Structures, JavaScript, Machine Learning, React, C++",5,6,78.4,72.3,Not Placed,
CSE20240639,CSE,5.84,0,3,SQL,1,5,85.2,86.2,Placed,11.4
IT20210640,IT,8.98,0,2,"Android, Django, React, Data Structures, Machine Learning",5,8,83,85.5,Placed,11.6
IT20220641,IT,7.94,1,0,"Python, Communication, Flask, Excel",4,5,67.7,72.3,Not Placed,
CIVIL20230642,CIVIL,8,0,0,"Machine Learning, Flask, Excel",3,5,65.6,75.9,Not Placed,
ECE20240643,ECE,7.71,0,2,"Android, C++",2,8,81.8,75.9,Placed,10.3
EEE20210644,EEE,7.76,0,0,"Data Structures, AWS, SQL",3,4,75.3,88.2,Placed,9.4
CSE20220645,CSE,8.33,0,1,"Java, C++, Flask, AWS",4,8,70.2,74.7,Placed,11.3
CIVIL20230646,CIVIL,6.51,0,0,"React, C++",2,8,76.2,70.5,Not Placed,
CSE20240647,CSE,6.46,0,1,C++,1,5,94.3,93,Placed,10
CIVIL20210648,CIVIL,6.09,0,0,"Flask, SQL, JavaScript, Django, AWS",5,5,90.8,87.8,Placed,11.5
ECE20220649,ECE,6.55,3,1,"React, Data Structures, Excel, Communication",4,7,83.6,87.8,Placed,11.4
IT20230650,IT,8.36,0,3,Python,1,3,70,86,Placed,12.5
CSE20240651,CSE,7.89,0,1,"React, Communication",2,6,85.4,82.7,Placed,11.7
CIVIL20210652,CIVIL,6.98,0,3,"Flask, C++",2,7,82.3,67.7,Placed,8.8
EEE20220653,EEE,7.55,0,1,Django,1,8,88.5,79.9,Placed,9.4
CSE20230654,CSE,7.58,0,0,Communication,1,5,85.4,78.7,Placed,10
EEE20240655,EEE,6.99,0,2,Django,1,4,70.9,60.2,Placed,8.5
CSE20210656,CSE,7.52,0,3,Communication,1,7,80.8,70,Placed,10.4
EEE20220657,EEE,7.52,0,0,Communication,1,6,70.4,69.7,Not Placed,
IT20230658,IT,8.32,0,1,"Communication, SQL, React, Data Structures",4,4,66.3,69.5,Placed,11.6
CIVIL20240659,CIVIL,8.46,0,1,"C++, Excel, Python",3,7,79.8,71.3,Placed,11.5
CIVIL20210660,CIVIL,8.63,0,0,"AWS, Python",2,8,68.9,64.5,Placed,10.9
IT20220661,IT,6.69,0,0,"Excel, C++, AWS, Python",4,7,82.4,93.5,Placed,8.7
MECH20230662,MECH,6.03,0,1,"Android, Flask, Data Structures, Django",4,5,89.1,77.9,Placed,10.8
CIVIL20240663,CIVIL,6.74,0,0,"Python, Django, Java, AWS, Excel",5,5,71.2,70.9,Placed,10.6
MECH20210664,MECH,8.08,0,2,"Data Structures, C++",2,4,77.7,83.7,Placed,9.6
EEE20220665,EEE,6.94,2,0,"Excel, React, Python",3,7,82.8,93.1,Not Placed,
EEE20230666,EEE,8.49,0,1,"JavaScript, Communication, SQL, Django, Python",5,8,77.5,60.7,Placed,11.2
CSE20240667,CSE,6.94,0,1,"SQL, AWS, Excel, Java, Flask",5,5,82.3,79.2,Not Placed,
ECE20210668,ECE,6.97,0,0,"Machine Learning, Android, SQL",3,6,73.4,68.3,Not Placed,
IT20220669,IT,7.36,3,0,"React, Flask",2,7,69.2,73.5,Placed,10.6
IT20230670,IT,6.69,1,2,"AWS, Android, SQL, C++",4,4,88.6,53.1,Placed,11.8
ECE20240671,ECE,7.99,0,2,"AWS, Data Structures, JavaScript, Flask, Machine Learning",5,5,84.5,83.3,Placed,13.6
CIVIL20210672,CIVIL,6.92,0,2,React,1,4,80.3,71,Placed,11.4
IT20220673,IT,8.99,2,2,"Data Structures, Communication, Excel, Machine Learning",4,6,72.5,64.7,Placed,13.2
IT20230674,IT,8.66,3,0,Java,1,7,90.2,78.3,Not Placed,
EEE20240675,EEE,6.84,1,0,"Java, React, Communication",3,8,70.9,71,Placed,12.2
MECH20210676,MECH,8.56,1,0,"Java, Android, Django, SQL, Python",5,5,73.6,81.4,Placed,14.8
ECE20220677,ECE,5.31,0,0,AWS,1,5,82.5,74,Not Placed,
CIVIL20230678,CIVIL,6.72,0,1,"Excel, Data Structures",2,7,65.3,81.5,Placed,8.7
CIVIL20240679,CIVIL,7.66,0,3,"JavaScript, Python",2,7,72.4,74.4,Placed,10.8
IT20210680,IT,7.57,3,2,"C++, AWS, JavaScript, Android, Excel",5,6,82.7,75.5,Placed,12.5
MECH20220681,MECH,7.11,1,0,"Data Structures, React, Flask",3,6,86.6,77.1,Not Placed,
CSE20230682,CSE,8.76,0,0,"C++, JavaScript",2,7,83,69.3,Placed,16.2
CIVIL20240683,CIVIL,4.76,0,2,"Communication, SQL, C++, React, Django",5,5,64.9,65.7,Placed,6.7
ECE20210684,ECE,7.2,0,3,"Machine Learning, JavaScript, Flask, Java",4,8,88.9,79.1,Placed,11.9
ECE20220685,ECE,6.65,0,3,Data Structures,1,6,85.5,80.8,Placed,10.8
EEE20230686,EEE,8.15,0,0,"Excel, Python, Communication, Android, Flask",5,7,73.2,85.7,Placed,16.1
CIVIL20240687,CIVIL,8.46,0,1,"JavaScript, Android",2,7,77.2,73.1,Placed,12
CIVIL20210688,CIVIL,8.55,0,0,"Data Structures, Python, Android, JavaScript, React",5,7,76.7,81.9,Placed,13.2
CSE20220689,CSE,8.97,1,0,"Python, Communication, Data Structures",3,8,78.9,78.5,Placed,13.1
CSE20230690,CSE,6.91,0,0,"Django, React, Data Structures",3,3,76.2,64.6,Placed,9.8
IT20240691,IT,7.58,0,3,"Android, Communication",2,5,63,81.4,Placed,10.9
EEE20210692,EEE,7.3,0,0,"Android, React, Data Structures, AWS",4,8,78.6,83.3,Not Placed,
ECE20220693,ECE,6.21,0,3,"Java, Android",2,6,74.8,62.1,Placed,10
CIVIL20230694,CIVIL,6.4,0,1,"C++, React, JavaScript, AWS",4,6,61.5,77.4,Placed,11.4
EEE20240695,EEE,6.08,0,1,"AWS, C++, Java, Excel",4,7,68.5,90.9,Not Placed,
CSE20210696,CSE,6.29,0,1,"Flask, Excel, Django, Android",4,5,63.9,95.1,Placed,7.7
IT20220697,IT,8.83,0,1,"Excel, Flask, Java, AWS, Python",5,7,86.7,71.8,Placed,12.1
ECE20230698,ECE,7.72,0,3,"Excel, Communication, Android, Machine Learning, Django",5,3,73,63.6,Placed,9.7
CSE20240699,CSE,5.78,0,0,"JavaScript, Machine Learning, Android, Python",4,6,83.8,77.4,Not Placed,
CSE20210700,CSE,6.26,0,2,"AWS, Communication",2,7,82.2,60,Not Placed,
CSE20220701,CSE,6.53,1,3,Excel,1,4,75.8,75.1,Placed,10.1
ECE20230702,ECE,6.79,0,2,Communication,1,7,78.7,70.5,Placed,8.9
IT20240703,IT,8.49,1,2,AWS,1,6,78.4,71.6,Not Placed,
IT20210704,IT,7.23,0,1,"Machine Learning, SQL, React, Flask",4,5,81.1,85,Placed,11.3
IT20220705,IT,6.27,0,1,"Machine Learning, Python, Django",3,7,63.1,92.9,Placed,9.7
MECH20230706,MECH,7.77,0,1,Communication,1,7,86.3,71,Not Placed,
MECH20240707,MECH,6.2,1,1,"Excel, Machine Learning, Python, SQL, AWS",5,7,77,61,Placed,11.3
IT20210708,IT,7.06,0,2,"Django, Flask",2,6,80.3,73.2,Placed,11
CIVIL20220709,CIVIL,7.83,1,1,React,1,6,73.1,86.6,Not Placed,
EEE20230710,EEE,7.59,0,2,"Data Structures, React, Android, Python, C++",5,6,70.3,80.9,Placed,12.5
MECH20240711,MECH,7.52,0,0,"C++, AWS, SQL, Android, Django",5,7,92.8,75.1,Placed,12
ECE20210712,ECE,7.79,1,1,"Android, JavaScript, Data Structures, AWS",4,8,82.5,85.3,Placed,13.8
CSE20220713,CSE,6.56,0,1,"SQL, Communication, React, Android",4,6,76,52.9,Not Placed,
ECE20230714,ECE,8.94,0,0,"Django, SQL, Communication, React, Android",5,9,80.7,71.7,Placed,10.6
IT20240715,IT,7.23,0,1,"Communication, Excel, Android",3,3,93.6,80.7,Placed,13.1
ECE20210716,ECE,8.13,1,0,"Data Structures, C++, Android, React",4,5,78.8,73.4,Not Placed,
IT20220717,IT,7.9,2,1,"Excel, Flask, Data Structures, Communication, C++",5,7,82.8,72.5,Placed,13.3
IT20230718,IT,7.04,0,1,"Python, Java",2,5,66.6,57.7,Not Placed,
ECE20240719,ECE,8.72,2,1,Django,1,4,68.7,59.5,Not Placed,
EEE20210720,EEE,6.73,0,1,"React, Excel, C++, Python, Django",5,6,83.1,67.9,Not Placed,
CSE20220721,CSE,5.97,0,0,"Flask, JavaScript",2,5,80.2,84.8,Not Placed,
EEE20230722,EEE,7.61,0,1,"Machine Learning, Excel, Data Structures",3,7,79.1,92.7,Placed,14.7
EEE20240723,EEE,8.78,0,0,"C++, Communication, Flask",3,7,66.6,72.3,Placed,15.1
CIVIL20210724,CIVIL,5.35,2,1,"Android, React",2,8,81.1,73.5,Not Placed,
CIVIL20220725,CIVIL,6.56,2,0,"Flask, C++, Excel, SQL",4,6,74.3,71.9,Placed,10.7
CSE20230726,CSE,7.79,0,0,"Java, SQL",2,8,80.3,70,Placed,10.9
CIVIL20240727,CIVIL,7.82,0,3,"SQL, React",2,7,75.1,78.1,Placed,12.5
IT20210728,IT,5.58,0,0,"C++, React",2,7,67.5,84,Not Placed,
CIVIL20220729,CIVIL,6.72,1,0,"Android, JavaScript, Excel",3,8,80.3,81.2,Placed,11.8
IT20230730,IT,6.84,1,2,"Machine Learning, Communication, Data Structures, Flask, Python",5,8,80.3,66.5,Placed,11.1
CIVIL20240731,CIVIL,7.44,0,1,"Flask, Machine Learning, Data Structures",3,3,79.7,74.3,Placed,12.7
IT20210732,IT,6.48,0,1,"Java, JavaScript, React, C++",4,6,69.8,72.4,Placed,8.4
ECE20220733,ECE,7.29,1,2,AWS,1,5,82.7,90.5,Not Placed,
IT20230734,IT,5.84,2,2,"Java, Django, Communication",3,8,82.8,81.2,Placed,8.3
CIVIL20240735,CIVIL,6.24,0,1,"JavaScript, Machine Learning, Data Structures, Java",4,6,83.6,83.4,Placed,10.4
ECE20210736,ECE,6.71,0,2,"JavaScript, Flask, AWS",3,5,92.6,93.1,Placed,15
CIVIL20220737,CIVIL,7.76,0,0,"C++, Communication, Android, SQL, AWS",5,6,87.9,67.9,Placed,9.9
CSE20230738,CSE,7.94,1,0,"Django, JavaScript, AWS, Excel, React",5,5,75.9,69,Not Placed,
CSE20240739,CSE,6.53,2,2,"JavaScript, Java, Android, Flask",4,4,66.7,54.7,Placed,11.3
ECE20210740,ECE,8.3,1,1,"React, Flask, C++, Django, Python",5,5,90.6,61.3,Placed,12.7
ECE20220741,ECE,6.53,0,0,"C++, AWS, Django, Android",4,6,77.5,62.1,Not Placed,
IT20230742,IT,7.44,0,2,"JavaScript, Java, AWS, C++, Flask",5,5,72.6,69.9,Placed,13.2
CSE20240743,CSE,6.49,0,2,"Machine Learning, Java",2,3,60.9,60.6,Not Placed,
CSE20210744,CSE,8.6,0,0,AWS,1,4,77.8,85.9,Placed,11.1
CSE20220745,CSE,6.03,0,1,"React, AWS, Communication",3,5,69.5,86,Placed,13.1
MECH20230746,MECH,7.23,3,1,"Excel, Flask, Machine Learning, Django",4,5,81.5,74.3,Placed,13.4
MECH20240747,MECH,6.4,0,1,Data Structures,1,5,70.6,50.9,Not Placed,
IT20210748,IT,6.77,0,0,Python,1,9,77.7,58.6,Placed,10.6
CSE20220749,CSE,9.24,0,0,"React, Communication, Django",3,6,77.1,74,Placed,12.8
CSE20230750,CSE,6.74,2,0,"Flask, Communication, Java",3,5,75.1,76.7,Not Placed,
CIVIL20240751,CIVIL,6.99,1,2,"Android, React, JavaScript",3,6,69.3,91.4,Placed,10.6
CIVIL20210752,CIVIL,6.64,1,3,"Java, Android, Machine Learning",3,9,75.7,83.6,Placed,11.3
IT20220753,IT,8.08,0,0,"Communication, JavaScript, Excel, Python, Java",5,4,83.2,75.7,Placed,9.7
CSE20230754,CSE,8.05,0,1,"Flask, AWS, Machine Learning, Android",4,6,77.5,76.2,Placed,12.5
MECH20240755,MECH,6.9,2,0,Java,1,2,78,70.9,Not Placed,
IT20210756,IT,6.24,1,1,"Data Structures, React",2,6,77.8,82.7,Placed,11.1
IT20220757,IT,7.11,0,0,Python,1,4,73.8,70,Placed,12.3
ECE20230758,ECE,8.85,1,0,"Android, Communication",2,5,85.2,83.8,Placed,15.4
CIVIL20240759,CIVIL,7.75,0,1,"Android, Communication, Django, Flask, JavaScript",5,7,73.3,89.8,Placed,13.5
CIVIL20210760,CIVIL,7.57,0,0,"Excel, AWS, Django, Python, C++",5,7,83.8,80,Not Placed,
MECH20220761,MECH,7.09,0,2,"Python, Java, Communication",3,7,81.3,63.2,Placed,13.3
CSE20230762,CSE,6.58,1,1,"Android, Flask, React, Django",4,6,87.8,79.1,Placed,11.2
MECH20240763,MECH,7.77,0,1,"C++, Python",2,6,60.8,74.7,Not Placed,
ECE20210764,ECE,5.98,0,0,"SQL, Communication, Java",3,5,86.2,82.9,Placed,10.2
CIVIL20220765,CIVIL,6.7,1,3,"Python, Android, Flask, Machine Learning, Django",5,6,80.8,77.8,Placed,11
EEE20230766,EEE,7.48,0,0,"Communication, SQL, Java",3,6,78.3,68.5,Placed,11.2
ECE20240767,ECE,6.51,1,1,"Java, C++",2,8,72.9,56.8,Not Placed,
ECE20210768,ECE,8.1,0,0,Java,1,5,70.2,61.7,Placed,13.5
MECH20220769,MECH,7.14,0,0,"Excel, Machine Learning",2,4,87.6,77.1,Not Placed,
IT20230770,IT,7.77,0,1,"Flask, C++",2,4,79.1,66.3,Placed,7.8
CIVIL20240771,CIVIL,7,0,0,"Excel, Data Structures, Android",3,6,74,70.2,Not Placed,
ECE20210772,ECE,6.5,1,3,C++,1,10,75.2,73.1,Placed,12.2
CIVIL20220773,CIVIL,6.7,0,1,Machine Learning,1,5,81.3,57.8,Placed,9.4
IT20230774,IT,6.21,1,0,"Java, SQL",2,5,71.9,62.3,Placed,10.4
EEE20240775,EEE,6.81,1,2,"Data Structures, Communication, JavaScript",3,7,61.9,76.1,Placed,9.3
MECH20210776,MECH,7.71,0,2,Python,1,5,74.6,75.2,Placed,11.8
MECH20220777,MECH,8.17,0,0,"Communication, Java, Machine Learning, Excel, JavaScript",5,4,74.1,75.2,Placed,12
IT20230778,IT,7.17,0,3,"Machine Learning, Django, Communication, SQL, Android",5,6,74.4,86.7,Not Placed,
MECH20240779,MECH,7.63,0,0,Java,1,5,75.2,83.1,Placed,14.6
EEE20210780,EEE,8.83,1,1,Django,1,8,83.9,75.5,Placed,11
EEE20220781,EEE,8.56,1,2,"Machine Learning, Django",2,1,87.2,74.4,Placed,8.5
EEE20230782,EEE,6.58,0,0,Django,1,5,84.5,71.6,Not Placed,
EEE20240783,EEE,6.08,0,0,"Flask, SQL, Communication, Machine Learning",4,7,76.2,84.1,Placed,9.6
MECH20210784,MECH,7.12,0,0,"Android, React, AWS",3,7,91,68.7,Not Placed,
MECH20220785,MECH,7.6,0,2,"Communication, Android, Java",3,4,70.3,87.2,Placed,13.1
EEE20230786,EEE,8.02,2,2,"Excel, Flask",2,8,71.9,75.2,Not Placed,
CSE20240787,CSE,6.82,1,0,"React, JavaScript, Android, Java",4,4,97.6,83.4,Placed,11
MECH20210788,MECH,7.03,0,0,"Machine Learning, Excel",2,7,82.3,65.2,Not Placed,
CSE20220789,CSE,6.66,1,1,"Django, Excel, Python, Java, SQL",5,8,81.3,77.2,Not Placed,
CIVIL20230790,CIVIL,6.7,2,2,"Flask, AWS, Excel, Java",4,6,74.7,84.4,Placed,10.5
EEE20240791,EEE,7.12,1,0,"Java, Machine Learning, C++, Python",4,9,83.4,61,Not Placed,
EEE20210792,EEE,8.55,3,1,"Java, Data Structures, Python, C++, SQL",5,5,74.5,75.7,Placed,11.8
ECE20220793,ECE,7.84,1,3,Excel,1,8,66.1,79.1,Placed,10.2
ECE20230794,ECE,6.64,0,1,SQL,1,6,77.4,79,Not Placed,
MECH20240795,MECH,8.17,2,0,C++,1,6,83.9,70.9,Placed,13
IT20210796,IT,5.38,0,2,"Excel, Communication, JavaScript",3,5,77.5,75.4,Placed,8.2
IT20220797,IT,7.51,1,1,"Communication, Android, SQL, React, JavaScript",5,2,76.3,75.5,Placed,8.5
EEE20230798,EEE,6.9,0,2,"Excel, Java",2,5,80.2,65.7,Not Placed,
CIVIL20240799,CIVIL,6.58,0,1,"Machine Learning, Excel, Data Structures, JavaScript",4,6,76.9,68.5,Placed,9.7
IT20210800,IT,6.72,0,1,"AWS, JavaScript, SQL",3,4,81.5,82.5,Placed,8.9
CIVIL20220801,CIVIL,7.91,1,3,"C++, Excel, Flask",3,5,72.9,89.9,Placed,11.5
CIVIL20230802,CIVIL,8.73,0,1,"Data Structures, JavaScript, Machine Learning, React, Python",5,5,68.4,86.5,Not Placed,
EEE20240803,EEE,4.9,1,0,"React, C++, Android, Communication",4,6,78.3,64.2,Placed,8.7
MECH20210804,MECH,7.03,0,0,"Communication, AWS, Python, Excel, JavaScript",5,5,87.3,71,Not Placed,
MECH20220805,MECH,7.37,0,3,"Java, Machine Learning",2,4,83.4,71.7,Placed,7.6
ECE20230806,ECE,8.4,0,3,Data Structures,1,4,77.3,55.3,Not Placed,
ECE20240807,ECE,6.53,0,0,"Excel, Django",2,4,78.6,81.3,Not Placed,
CSE20210808,CSE,8.35,0,0,"SQL, Flask",2,4,82.7,60.5,Placed,13.5
